player,Team,Format,matches,Innings,runs,wickets,average,bowling_average,bowling_strike_rate,economy,batting_position,5 wkts,image_url,role,strike_rate,100s,50s
Ottneil Baartman,South Africa,Odi,4,4,13,6,0,16.83,25.0,4.04,10,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/383400/383456.jpg",fast-bowler
Ottneil Baartman,South Africa,Odi,14,14,17,13,4.33,22.23,16.5,8.04,10,0,"",fast-bowler
Nandre Berger,South Africa,Test,3,6,33,14,8.25,16.92,26.8,3.78,11,0,"",fast-bowler
Nandre Berger,South Africa,Odi,10,10,21,14,10.5,34.85,33.7,6.20,10,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/386100/386182.jpg",fast-bowler
Nandre Berger,South Africa,T20,8,8,10,6,5.00,39.83,29.0,8.24,10,0,"",fast-bowler
Bjorn Fortuine,South Africa,Odi,13,12,74,16,9.35,30.81,37.6,4.91,9,0,"",left-arm-off-spinner
Bjorn Fortuine,South Africa,Odi,27,27,127,23,12.70,28.26,20.8,8.12,9,0,"",left-arm-off-spinner
Lungi Nigdi,South Africa,Test,20,35,19,58,4.87,23.37,44.4,3.15,10,3,"",fast-bowler
Lungi Nigdi,South Africa,Odi,72,71,125,114,10.41,28.29,29.3,5.79,9,2,"",fast-bowler
Lungi Nigdi,South Africa,T20,52,52,48,71,10.41,21.84,8.89,14.7,2,1,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/401700/401770.jpg",fast-bowler
Nqabayomzi Peter,South Africa,Odi,2,2,5,3,5.00,30.00,30.0,6.00,10,0,"",leg-spinner
Nqabayomzi Peter,South Africa,T20,12,12,29,9,14.5,36.00,23.3,9.25,10,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/390700/390757.jpg",leg-spinner
Lizzad Williams,South Africa,Test,2,2,25,3,8.33,35.00,61.6,3.40,11,0,"",fast-bowler
Lizzad Williams,South Africa,Odi,8,8,18,16,4.50,24.87,25.3,5.88,11,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/372800/372803.jpg",fast-bowler
Lizzad Williams,South Africa,T20,20,19,14,24,2.33,25.95,16.2,9.60,11,0,"",fast-bowler
